Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC107964173,uncharacterized LOC107964173,"4, 6, 8",0.05,3.93,4.81,6.33
LOC408817,alanine--glyoxylate aminotransferase 2-like,"4, 6, 8",1.03,3.61,3.76,3.23
LOC412843,phosphoenolpyruvate carboxykinase,"4, 6, 8",0.39,2.53,3.79,4.79
LOC107965350,uncharacterized LOC107965350,"4, 6, 8",0.4,3.84,3.4,3.6
Hex70a,hexamerin 70a,"4, 6, 8",0.42,2.74,3.76,4.04
HEX70b,hexamerin 70b,"4, 6, 8",0.37,3.25,3.6,3.45
LOC406105,esterase A2,"4, 6, 8",0.75,3.36,2.7,3.33
LOC102656472,uncharacterized LOC102656472,"6, 8",-0.32,2.66,4.37,3
LOC113218740,uncharacterized LOC113218740,"4, 6, 8",1.37,2.66,2.28,3.16
Hex70c,hexamerin 70c,8,0.43,3.08,2.76,2.66
LOC107965565,uncharacterized LOC107965565,"4, 6, 8",0.84,3.19,2.33,2.48
LOC102656066,uncharacterized LOC102656066,"4, 6, 8",0.12,2.61,2.63,3.29
LOC113219321,uncharacterized LOC113219321,"4, 6, 8",1.85,2.81,2.08,1.9
LOC113219088,uncharacterized LOC113219088,"4, 6, 8",-0,3.15,2.16,3.22
LOC113219221,esterase E4-like,"4, 6, 8",0.84,1.99,2.4,3.24
LOC725540,uncharacterized LOC725540,"4, 6, 8",0.66,2.51,2.59,2.5
LOC113218825,uncharacterized LOC113218825,"4, 6, 8",0.88,2.95,2.19,2.12
Hex110,hexamerin 110,"4, 6, 8",0.65,2.19,2.65,2.22
LOC550965,probable cytochrome P450 6a14,"4, 6, 8",0.68,1.88,2.11,2.6
LOC107964278,uncharacterized LOC107964278,"4, 6, 8",0.45,2.12,1.99,2.7
LOC725784,uncharacterized LOC725784,"4, 6, 8",0.8,1.47,2.09,2.73
LOC100578397,uncharacterized LOC100578397,"4, 6, 8",0.67,1.78,2.24,2.16
LOC113218911,uncharacterized LOC113218911,"4, 6, 8",-0.06,1.92,1.52,3.42
LOC107966105,uncharacterized LOC107966105,"4, 6, 8",0.57,1.91,1.98,2.16
LOC107964635,uncharacterized LOC107964635,"4, 6, 8",1.06,1.72,1.48,2.14
LOC102655070,uncharacterized LOC102655070,"4, 6, 8",0.16,2.24,1.83,2.15
LOC102654601,uncharacterized LOC102654601,"4, 6, 8",0.19,2,1.81,2.31
LOC113218518,chymotrypsin inhibitor-like,"4, 6, 8",-0.4,1.99,1.63,3.08
LOC408650,inositol oxygenase,"4, 6, 8",0.01,1.62,2.15,2.52
LOC107965336,uncharacterized LOC107965336,6,0.73,2.05,2.18,1.29
LOC727243,uncharacterized LOC727243,"4, 6, 8",0.5,2.24,2.15,1.36
LOC113219104,uncharacterized LOC113219104,"4, 6, 8",0.72,1.67,1.09,2.65
Grd,GABA-gated ion channel,"4, 6, 8",0.62,2.06,1.65,1.73
LOC102654936,uncharacterized LOC102654936,"4, 6, 8",0.17,1.87,2.08,1.93
LOC102656859,uncharacterized LOC102656859,"6, 8",0.45,1.32,1.86,2.4
LOC102656634,uncharacterized LOC102656634,"4, 6, 8",0.45,1.77,1.7,2.09
LOC107963970,uncharacterized LOC107963970,"4, 6, 8",-0.19,2.22,2.03,1.95
LOC100578731,uncharacterized LOC100578731,"4, 6, 8",0.32,1.73,1.96,1.89
LOC102656747,uncharacterized LOC102656747,"4, 8",0.86,2.22,0.62,2.15
LOC410201,phosphatidate phosphatase LPIN3,"4, 6",0.75,2.15,1.98,0.93
LOC413575,facilitated trehalose transporter Tret1,"4, 6, 8",0.72,1.55,2.21,1.28
LOC413574,26S proteasome non-ATPase regulatory subunit 2,"4, 6, 8",0.11,1.78,1.97,1.84
LOC102656625,uncharacterized LOC102656625,4,0.4,2.99,1.53,0.77
LOC113219212,uncharacterized LOC113219212,"4, 6, 8",0.53,1.87,1.4,1.84
LOC409628,neutral ceramidase,"4, 6, 8",0.43,1.45,1.88,1.87
LOC409709,putative glucosylceramidase 4,8,0.68,0.87,1.35,2.47
LOC102656630,uncharacterized LOC102656630,"4, 8",-0.32,2.24,0.82,2.65
LOC408299,purine nucleoside phosphorylase,"4, 6, 8",0.38,1.46,1.61,1.87
LOC100577527,uncharacterized LOC100577527,"6, 8",-0.31,1.56,1.96,2.11
LOC408859,pyrroline-5-carboxylate reductase 2,"4, 6, 8",0.86,1.72,1.51,1.14
LOC412310,cilia- and flagella-associated protein 20-like,"6, 8",0.28,0.3,1.89,2.75
LOC102655519,uncharacterized LOC102655519,"4, 6, 8",0.59,1.45,1.34,1.66
LOC100577827,uncharacterized LOC100577827,"4, 6, 8",0.28,1.81,1.29,1.59
LOC551046,cys-loop ligand-gated ion channel subunit 12344,"6, 8",0.22,0.92,1.54,2.23
LOC724993,uncharacterized LOC724993,"4, 6, 8",-0.04,1.58,1.8,1.57
LOC102654641,uncharacterized LOC102654641,6,-0.18,1.18,2.74,1.15
LOC107964868,uncharacterized LOC107964868,"4, 6, 8",0.28,1.03,1.53,2.02
LOC102653939,uncharacterized LOC102653939,6,1.21,1.1,1.87,0.66
LOC107965086,uncharacterized LOC107965086,"6, 8",0.12,0.86,2.13,1.69
LOC724644,uncharacterized LOC724644,"4, 6, 8",0.47,1.64,1.45,1.22
LOC410626,sodium-coupled monocarboxylate transporter 1,"4, 6, 8",0.57,1.17,1.53,1.44
LOC725305,uncharacterized LOC725305,"4, 6, 8",0.15,1.65,1.77,1.11
LOC726418,flavin-containing monooxygenase FMO GS-OX-like 4,"6, 8",0.42,0.7,1.43,2.1
LOC725708,uncharacterized LOC725708,"4, 6, 8",0.27,1.42,1.21,1.73
LOC410614,tubulin alpha chain,8,0.26,1.16,0.88,2.33
LOC100576617,uncharacterized LOC100576617,"4, 6, 8",0.15,1.31,1.47,1.71
CSP4,chemosensory protein 4,"6, 8",0.58,1.13,1.48,1.43
LOC552771,hydroxyacid oxidase 1,"4, 6, 8",0.15,1.22,1.39,1.8
LOC100577669,uncharacterized LOC100577669,"6, 8",0.48,1.1,1.61,1.36
LOC100576637,trypsin 5G1,"4, 8",0.12,1.49,1.08,1.84
LOC107964743,uncharacterized LOC107964743,"4, 6, 8",0.23,1.39,1.49,1.4
LOC408453,cytochrome P450 9e2,"4, 8",0.25,1.21,0.93,2.12
LOC112935903,cytochrome P450 6a14-like,6,0.71,0.93,1.9,0.96
LOC726871,synaptic vesicle glycoprotein 2B,"4, 6, 8",0.74,1.42,1.36,0.95
LOC113219316,uncharacterized LOC113219316,4,-0.07,2.6,1.11,0.83
LOC411099,protein yippee-like 1,"4, 6, 8",0.41,1.83,1.09,1.11
LOC113218934,uncharacterized LOC113218934,8,0.89,1.2,0.97,1.35
LOC107963967,serine protease inhibitor 3,"6, 8",0.3,1.42,1.41,1.24
LOC552804,tubulin-specific chaperone cofactor E-like protein,"4, 6, 8",0.23,1.36,1.36,1.42
LOC102656564,uncharacterized LOC102656564,"6, 8",0.11,0.41,2.08,1.76
