Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC411071,dnaJ protein homolog 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,2,0.7,0.99,1.09,-1.3,-1.01,-0.91,0.29,0.39,0.55
LOC107966102,uncharacterized LOC107966102,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,2.43,0.88,0.84,0.93,-1.55,-1.59,-1.5,-0.04,0.04,0.93
LOC100577833,histone H1.2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,-2.06,-0.97,-1.18,-1.02,1.09,0.88,1.04,-0.21,-0.05,-0.79
LOC102654936,uncharacterized LOC102654936,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 6 vs 8,1.29,2.82,2.75,2.93,1.53,1.45,1.63,-0.08,0.1,-1.63
LOC409361,dopamine N-acetyltransferase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,1.3,1.32,1.93,1.97,0.02,0.63,0.67,0.6,0.65,-1.08
LOC411227,tyrosine-protein phosphatase non-receptor type 9,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.31,-0.3,-0.56,-0.54,0.01,-0.25,-0.23,-0.26,-0.24,0.22
LOC724552,elongation of very long chain fatty acids protein AAEL008004,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.83,0.97,1.56,1.58,0.15,0.73,0.75,0.59,0.6,-1.27
LOC552326,uncharacterized LOC552326,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.93,-1.18,-2.65,-2.76,-0.25,-1.72,-1.83,-1.47,-1.58,1.74
LOC726040,4-coumarate--CoA ligase 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.43,0.86,1.34,1.62,0.43,0.91,1.19,0.48,0.76,-1.21
LOC551973,cleavage and polyadenylation specificity factor subunit CG7185,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,-0.38,-0.43,-0.72,-0.85,-0.05,-0.34,-0.47,-0.29,-0.42,0.46
LOC412215,chitin synthase chs-2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.71,0.75,1.48,1.86,0.04,0.77,1.14,0.73,1.1,-0.86
LOC408955,"4-aminobutyrate aminotransferase, mitochondrial",0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.45,0.69,1.19,1.37,0.24,0.73,0.92,0.49,0.68,-0.84
LOC408650,inositol oxygenase,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.72,2.3,3.26,3.62,1.58,2.54,2.9,0.96,1.32,-2.55
LOC408666,uncharacterized LOC408666,0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8; 4 vs 8; 6 vs 8,0.04,0.73,1.38,1.63,0.69,1.34,1.59,0.65,0.9,-1.35
LOC409664,erythroid differentiation-related factor 1,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 4; 2 vs 6; 2 vs 8,1.05,0.37,0.53,0.47,-0.68,-0.51,-0.58,0.16,0.1,0.11
LOC409628,neutral ceramidase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,1.18,1.65,2.13,2.01,0.47,0.95,0.83,0.48,0.36,-1.37
LOC726231,GRB2-associated-binding protein 2,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.46,0.68,0.91,0.91,0.22,0.45,0.45,0.23,0.23,-0.61
LOC100576617,uncharacterized LOC100576617,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.99,1.67,2,2.34,0.68,1.01,1.35,0.33,0.67,-1.16
LOC413462,cyclin-G-associated kinase,0 vs 2; 0 vs 4; 0 vs 6; 0 vs 8; 2 vs 6; 2 vs 8; 6 vs 8,0.31,0.48,0.64,0.57,0.17,0.33,0.25,0.16,0.09,-0.37
